UID,V1,V2,COMMENTS
XNJP,Bitzgi,,
XNVQ,Gige(r)tschi,,
XOHE,Bitzgi,,
XOIQ,Bätzi,,
XPCV,Üürbsi,,
XPMD,Bitzgi,,
XQGF,Gröibschi,,
XQYH,Grübschi,,Grüebschi
XRIV,Üürbsi,,Bürbsi
XSVA,Bitschgi,,
XSXQ,Bätschgi,,
XTPT,Bütschgi,,
XTSM,Gröitschi,,
XUAK,Bütschgi,,
XVBP,Bitzgi,,
XVHT,Gige(r)tschi,,
XVRH,Gröibschi,,
XVTI,Bätzgi,,
XVXT,Gröibschi,,
XXCT,Bütschgi,,öpfelbütschgi
XYCB,SDATS_Gütschgi,,
XYEE,Güürbsi,,
XYEK,Gröibschi,,
XYMB,Bütschgi,,
XZKG,Bitschgi,,
YBWQ,Bätzgi,,
YCXF,Grübschi,,
YDIO,Bütschgi,,
YDPY,Bitzgi,,
YDQV,Gröitschi,,
YDSB,SDATS_Räscht(e),,Pummerest
YECE,Bütschgi,,
YELS,SDATS_Pfuschi,,Pfuschi
YFEF,Grübschi,,
YFQM,Gröibschi,,
YFTY,Grübschi,,
YGDB,Güürbsi,,gürbschi
YGDZ,Bitschgi,,
YGIV,Bitzgi,,
YGXH,Grübschi,,
YGYR,Bätzgi,,
YHSV,Güürbsi,,gürbschi
YIIZ,Bätzi,,
YIKI,Bitzgi,,
YIRI,Gröibschi,,
YJHC,Gröibschi,,
